City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,Nurota,UZ,70.52,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
389,Dicabisagan,PH,86.29,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
391,Wharton,US,84.97,clear sky,29.3116,-96.1027,Americas Best Value Inn Wharton
392,Nantucket,US,70.02,clear sky,41.2835,-70.0995,Jared Coffin House
394,Nanton,CA,81.81,scattered clouds,50.3501,-113.7687,Changing Seasons Bed and Breakfast
395,Lasa,IT,63.48,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
397,Guerrero Negro,MX,73.65,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
401,Lorengau,PG,81.84,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
402,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
403,Nuoro,IT,65.28,clear sky,40.3211,9.3297,Hotel Sandalia
404,Muros,ES,61.84,clear sky,42.7762,-9.0603,Apartment Av. Castelao
406,Jacareacanga,BR,79.14,broken clouds,-6.2222,-57.7528,Casa do Ian😎
407,Motygino,RU,60.4,clear sky,58.1831,94.7592,"Gostinitsa ""Uyut"""
408,Hay River,CA,62.58,scattered clouds,60.8156,-115.7999,Ptarmigan Inn
410,Rantepao,ID,78.87,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
411,Fuxin,CN,80.4,overcast clouds,42.0156,121.6589,Xinya International Hotel
412,Visby,SE,62.82,clear sky,57.6409,18.296,Best Western Solhem Hotel Visby
414,Lagunas,PE,72.18,few clouds,-5.2269,-75.6753,Hospedaje Eco
415,Crotone,IT,73.18,clear sky,39.0851,17.1178,Helios Hotel
416,Kanakapura,IN,70.7,overcast clouds,12.55,77.4167,Bcm girls hostel
417,Namatanai,PG,84.33,light rain,-3.6667,152.4333,Seagulls Inn Namatani
419,Verkhnevilyuysk,RU,62.98,overcast clouds,63.4453,120.3167,Gostinitsa Mila
420,Devin,BG,61.41,overcast clouds,41.7433,24.4,Persenk SPA Hotel
421,Sarkand,KZ,75.04,overcast clouds,45.41,79.9186,Гостиница Сарканд
424,Benguela,AO,68.32,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
425,Camacha,PT,65.62,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
426,New Waterford,US,65.25,clear sky,40.8451,-80.6145,Pleasant Valley Mobile Home
427,Pitimbu,BR,75.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
428,Pontian Kecil,MY,86.32,few clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
429,San Miguel El Alto,MX,67.8,overcast clouds,21.0167,-102.35,El Campito de los Moreno
432,Coahuayana,MX,79.07,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
433,Havre-Saint-Pierre,CA,61.16,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
434,Waterloo,CA,60.73,clear sky,43.4668,-80.5164,The Walper Hotel
435,Shawnee,US,80.64,clear sky,39.05,-95.7669,Fairfield Inn by Marriott Topeka
436,Northam,GB,66.38,clear sky,51.0333,-4.2167,Durrant House Hotel
437,Jalu,LY,79.45,clear sky,29.0331,21.5482,صاحبة الفخامة
438,Koutsouras,GR,79.11,clear sky,35.0339,25.9469,The White Houses
439,Mandera,KE,73.65,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
442,Tokmak,UA,70.95,overcast clouds,47.2514,35.7058,Дом приезжих
444,Ribeira Brava,PT,70.43,few clouds,32.65,-17.0667,Hotel do Campo
445,Sola,VU,77.92,overcast clouds,-13.8833,167.55,Leumerus Bungalows
446,Zarautz,ES,75.45,clear sky,43.2844,-2.1699,Hotel Zarauz
448,Adana,TR,81.12,scattered clouds,36.985,35.2881,ibis Adana
449,Gravelbourg,CA,70.07,scattered clouds,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
450,Whitecourt,CA,76.24,broken clouds,54.1502,-115.6855,Super 8 by Wyndham Whitecourt
451,Tselinnoye,RU,64.49,light rain,53.0833,85.6667,Zolotaya Podkova
452,Acaponeta,MX,80.56,broken clouds,22.4964,-105.3594,Hotel Casa Blanca
454,Mitchell,US,81.1,clear sky,43.7094,-98.0298,Kelly Inn & Suites
455,Sabha,LY,81.55,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
456,North Bay,CA,60.94,clear sky,46.3168,-79.4663,"Holiday Inn Express & Suites North Bay, an IHG Hotel"
457,Bolshevik,BY,60.42,clear sky,54.0065,27.5692,HOME APART Storozhovskaya str.6
459,Peniche,PT,66.29,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
460,Caibarien,CU,79.92,few clouds,22.5206,-79.4669,La Nena
461,Vanino,RU,61.54,overcast clouds,49.0869,140.2543,Гостиница 5 Звезд
462,Sur,OM,89.24,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
466,Campbell River,CA,77.38,few clouds,50.0163,-125.2446,Anchor Inn & Suites
468,Westport,US,77.27,clear sky,41.1415,-73.3579,The Westport Inn
470,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
471,Lewistown,US,74.8,clear sky,40.5992,-77.5714,Quality Inn & Suites
